Date,S&P 500 Pure Value (TR)
2012-11-02,5298.16
2012-11-05,5317.99
2012-11-06,5410.96
2012-11-07,5253.75
2012-11-08,5196.2
2012-11-09,5203.29
2012-11-12,5202.26
2012-11-13,5169.15
2012-11-14,5088.01
2012-11-15,5109.55
2012-11-16,5140.45
2012-11-19,5255.71
2012-11-20,5271.95
2012-11-21,5295.66
2012-11-23,5370.17
2012-11-26,5350.33
2012-11-27,5317.84
2012-11-28,5369.33
2012-11-29,5397
2012-11-30,5400.66
2012-12-03,5384.68
2012-12-04,5371.72
2012-12-05,5410.22
2012-12-06,5430.55
2012-12-07,5466.41
2012-12-10,5487.34
2012-12-11,5520.79
2012-12-12,5533.89
2012-12-13,5514.45
2012-12-14,5509.68
2012-12-17,5593.75
2012-12-18,5678.69
2012-12-19,5646.87
2012-12-20,5702.14
2012-12-21,5618.04
2012-12-24,5601.33
2012-12-26,5590.81
2012-12-27,5570.66
2012-12-28,5511.29
2012-12-31,5626.07
2013-01-02,5768.72
2013-01-03,5770.44
2013-01-04,5826.81
2013-01-07,5797.03
2013-01-08,5750.97
2013-01-09,5769.91
2013-01-10,5826.28
2013-01-11,5808.44
2013-01-14,5824.33
2013-01-15,5873.38
2013-01-16,5881.89
2013-01-17,5938.96
2013-01-18,5966.74
2013-01-22,6038.93
2013-01-23,6036.59
2013-01-24,6055.79
2013-01-25,6095.08
2013-01-28,6085.99
2013-01-29,6134.44
2013-01-30,6106.31
2013-01-31,6101.29
2013-02-01,6159.36
2013-02-04,6093.27
2013-02-05,6155.26
2013-02-06,6174.54
2013-02-07,6167.3
2013-02-08,6192.23
2013-02-11,6199.63
2013-02-12,6228.87
2013-02-13,6219.02
2013-02-14,6243.01
2013-02-15,6216.61
2013-02-19,6262.2
2013-02-20,6129.82
2013-02-21,6092.6
2013-02-22,6145.98
2013-02-25,5987.71
2013-02-26,6015.53
2013-02-27,6106.23
2013-02-28,6097.11
2013-03-01,6103.83
2013-03-04,6127.64
2013-03-05,6188.88
2013-03-06,6224.18
2013-03-07,6253.67
2013-03-08,6314.02
2013-03-11,6346.32
2013-03-12,6361.27
2013-03-13,6389.44
2013-03-14,6429.04
2013-03-15,6437.47
2013-03-18,6396.03
2013-03-19,6347.81
2013-03-20,6391.15
2013-03-21,6327.78
2013-03-22,6359.05
2013-03-25,6353.23
2013-03-26,6399.65
2013-03-27,6401.52
2013-03-28,6430.61
2013-04-01,6398.14
2013-04-02,6388.39
2013-04-03,6292.85
2013-04-04,6330.7
2013-04-05,6312.49
2013-04-08,6371.4
2013-04-09,6407.14
2013-04-10,6479.58
2013-04-11,6504.45
2013-04-12,6455.86
2013-04-15,6257.08
2013-04-16,6356.27
2013-04-17,6238.02
2013-04-18,6198.35
2013-04-19,6257.08
2013-04-22,6275.35
2013-04-23,6348.82
2013-04-24,6422.83
2013-04-25,6444.38
2013-04-26,6415.15
2013-04-29,6464.94
2013-04-30,6487.37
2013-05-01,6421.68
2013-05-02,6489.01
2013-05-03,6581.4
2013-05-06,6618.51
2013-05-07,6666.87
2013-05-08,6708.3
2013-05-09,6671.65
2013-05-10,6704.29
2013-05-13,6697.29
2013-05-14,6806.14
2013-05-15,6835.52
2013-05-16,6783.64
2013-05-17,6884.36
2013-05-20,6900.8
2013-05-21,6907.43
2013-05-22,6825.26
2013-05-23,6813.38
2013-05-24,6786.24
2013-05-28,6859.12
2013-05-29,6845.63
2013-05-30,6909.11
2013-05-31,6794.66
2013-06-03,6807.38
2013-06-04,6765.52
2013-06-05,6655.12
2013-06-06,6726.35
2013-06-07,6843.58
2013-06-10,6870.35
2013-06-11,6783.38
2013-06-12,6722.6
2013-06-13,6847.86
2013-06-14,6780.77
2013-06-17,6845.67
2013-06-18,6906.87
2013-06-19,6813.89
2013-06-20,6662.45
2013-06-21,6669.71
2013-06-24,6560.08
2013-06-25,6652.16
2013-06-26,6715.79
2013-06-27,6795.91
2013-06-28,6766.21
2013-07-01,6821.34
2013-07-02,6811.06
2013-07-03,6781.46
2013-07-05,6875.54
2013-07-08,6925.52
2013-07-09,6988.07
2013-07-10,6985
2013-07-11,7063.35
2013-07-12,7099.1
2013-07-15,7119.4
2013-07-16,7075.17
2013-07-17,7091.54
2013-07-18,7186.08
2013-07-19,7201.67
2013-07-22,7235.17
2013-07-23,7232.03
2013-07-24,7183.26
2013-07-25,7200.2
2013-07-26,7209.92
2013-07-29,7185.06
2013-07-30,7183.77
2013-07-31,7207.49
2013-08-01,7337.63
2013-08-02,7341.96
2013-08-05,7334.75
2013-08-06,7282.07
2013-08-07,7237.47
2013-08-08,7310.63
2013-08-09,7319.05
2013-08-12,7304.51
2013-08-13,7336.15
2013-08-14,7317.01
2013-08-15,7219.36
2013-08-16,7212.07
2013-08-19,7122.47
2013-08-20,7184.23
2013-08-21,7122.54
2013-08-22,7208.07
2013-08-23,7225.72
2013-08-26,7176.05
2013-08-27,7023.08
2013-08-28,7046.28
2013-08-29,7070.25
2013-08-30,7036.81
2013-09-03,7097.89
2013-09-04,7175.07
2013-09-05,7210.98
2013-09-06,7200.14
2013-09-09,7278.86
2013-09-10,7353.61
2013-09-11,7381.79
2013-09-12,7333.21
2013-09-13,7366.62
2013-09-16,7421.14
2013-09-17,7468.37
2013-09-18,7493.38
2013-09-19,7450.38
2013-09-20,7398.47
2013-09-23,7360.33
2013-09-24,7380.92
2013-09-25,7396.86
2013-09-26,7397.51
