Date,Dow Jones U.S. Thematic Long Size Total Return Index
2012-07-26,994.35
2012-07-27,1019.95
2012-07-28,1019.95
2012-07-29,1019.95
2012-07-30,1017.82
2012-07-31,1012.99
2012-08-01,1000.07
2012-08-02,992.17
2012-08-03,1010.84
2012-08-04,1010.84
2012-08-05,1010.84
2012-08-06,1019.8
2012-08-07,1032.63
2012-08-08,1036.35
2012-08-09,1043.79
2012-08-10,1043.31
2012-08-11,1043.31
2012-08-12,1043.31
2012-08-13,1040.35
2012-08-14,1037.98
2012-08-15,1046.22
2012-08-16,1055.75
2012-08-17,1062.04
2012-08-18,1062.04
2012-08-19,1062.04
2012-08-20,1058.02
2012-08-21,1058.51
2012-08-22,1054.78
2012-08-23,1044.97
2012-08-24,1048.36
2012-08-25,1048.36
2012-08-26,1048.36
2012-08-27,1047.28
2012-08-28,1051.71
2012-08-29,1055.79
2012-08-30,1048.6
2012-08-31,1053.57
2012-09-01,1053.57
2012-09-02,1053.57
2012-09-03,1053.57
2012-09-04,1063.68
2012-09-05,1063.25
2012-09-06,1085.6
2012-09-07,1095.1
2012-09-08,1095.1
2012-09-09,1095.1
2012-09-10,1090.95
2012-09-11,1094.67
2012-09-12,1098.02
2012-09-13,1110.87
2012-09-14,1126.78
2012-09-15,1126.78
2012-09-16,1126.78
2012-09-17,1114.24
2012-09-18,1107.71
2012-09-19,1106.11
2012-09-20,1096.8
2012-09-21,1096.93
2012-09-22,1096.93
2012-09-23,1096.93
2012-09-24,1087.99
2012-09-25,1067.9
2012-09-26,1063.12
2012-09-27,1075.7
2012-09-28,1070.27
2012-09-29,1070.27
2012-09-30,1070.27
2012-10-01,1071.13
2012-10-02,1074.04
2012-10-03,1071.61
2012-10-04,1081.61
2012-10-05,1081.51
2012-10-06,1081.51
2012-10-07,1081.51
2012-10-08,1079.64
2012-10-09,1069.55
2012-10-10,1065.03
2012-10-11,1072
2012-10-12,1064.14
2012-10-13,1064.14
2012-10-14,1064.14
2012-10-15,1071.6
2012-10-16,1082.68
2012-10-17,1092.44
2012-10-18,1090.11
2012-10-19,1071.72
2012-10-20,1071.72
2012-10-21,1071.72
2012-10-22,1071.09
2012-10-23,1063.54
2012-10-24,1057.04
2012-10-25,1064.7
2012-10-26,1058.57
2012-10-27,1058.57
2012-10-28,1058.57
2012-10-29,1058.57
2012-10-30,1058.57
2012-10-31,1066.47
2012-11-01,1088.42
2012-11-02,1072.93
2012-11-03,1072.93
2012-11-04,1072.93
2012-11-05,1079.75
2012-11-06,1088.88
2012-11-07,1063.71
2012-11-08,1047.61
2012-11-09,1050.08
2012-11-10,1050.08
2012-11-11,1050.08
2012-11-12,1050.94
2012-11-13,1045.42
2012-11-14,1027.28
2012-11-15,1025.57
2012-11-16,1033
2012-11-17,1033
2012-11-18,1033
2012-11-19,1053.82
2012-11-20,1055.13
2012-11-21,1061.5
2012-11-22,1061.5
2012-11-23,1074.39
2012-11-24,1074.39
2012-11-25,1074.39
2012-11-26,1072.62
2012-11-27,1068.77
2012-11-28,1074.72
2012-11-29,1083.8
2012-11-30,1083.07
2012-12-01,1083.07
2012-12-02,1083.07
2012-12-03,1080.98
2012-12-04,1082.44
2012-12-05,1087.86
2012-12-06,1090.97
2012-12-07,1092.9
2012-12-08,1092.9
2012-12-09,1092.9
2012-12-10,1098.59
2012-12-11,1107.39
2012-12-12,1103.99
2012-12-13,1097.54
2012-12-14,1094.58
2012-12-15,1094.58
2012-12-16,1094.58
2012-12-17,1107.72
2012-12-18,1126.34
2012-12-19,1125.66
2012-12-20,1130.03
2012-12-21,1120.34
2012-12-22,1120.34
2012-12-23,1120.34
2012-12-24,1116.16
2012-12-25,1116.16
2012-12-26,1108.87
2012-12-27,1107.87
2012-12-28,1099.49
2012-12-29,1099.49
2012-12-30,1099.49
2012-12-31,1121.91
2013-01-01,1121.91
2013-01-02,1151.82
2013-01-03,1153.16
2013-01-04,1164.65
2013-01-05,1164.65
2013-01-06,1164.65
2013-01-07,1160.58
2013-01-08,1154.12
2013-01-09,1157.53
2013-01-10,1162.02
2013-01-11,1161.2
2013-01-12,1161.2
2013-01-13,1161.2
2013-01-14,1160.56
2013-01-15,1168.87
2013-01-16,1166.22
2013-01-17,1177.25
2013-01-18,1181.46
2013-01-19,1181.46
2013-01-20,1181.46
2013-01-21,1181.46
2013-01-22,1191.37
2013-01-23,1187.45
2013-01-24,1191.58
2013-01-25,1203.55
2013-01-26,1203.55
2013-01-27,1203.55
2013-01-28,1202.21
2013-01-29,1201.05
2013-01-30,1193.4
2013-01-31,1198.55
2013-02-01,1207.35
2013-02-02,1207.35
2013-02-03,1207.35
2013-02-04,1194.88
2013-02-05,1206.72
2013-02-06,1212.27
2013-02-07,1213.59
2013-02-08,1222.46
2013-02-09,1222.46
2013-02-10,1222.46
2013-02-11,1220.18
2013-02-12,1226.11
2013-02-13,1228.08
2013-02-14,1232.96
2013-02-15,1230.85
2013-02-16,1230.85
2013-02-17,1230.85
2013-02-18,1230.85
2013-02-19,1240.9
2013-02-20,1216.83
2013-02-21,1205.91
2013-02-22,1216.52
2013-02-23,1216.52
2013-02-24,1216.52
2013-02-25,1191.71
2013-02-26,1196.54
2013-02-27,1213.34
2013-02-28,1217.1
2013-03-01,1215.13
2013-03-02,1215.13
2013-03-03,1215.13
2013-03-04,1216.82
2013-03-05,1232.96
2013-03-06,1236.78
2013-03-07,1242.51
2013-03-08,1254.8
2013-03-09,1254.8
2013-03-10,1254.8
2013-03-11,1258.2
2013-03-12,1257
2013-03-13,1264.41
2013-03-14,1273.23
2013-03-15,1273.71
2013-03-16,1273.71
2013-03-17,1273.71
2013-03-18,1265.89
2013-03-19,1261.72
2013-03-20,1273.62
2013-03-21,1262.58
2013-03-22,1266.02
2013-03-23,1266.02
2013-03-24,1266.02
2013-03-25,1263.13
2013-03-26,1271.37
2013-03-27,1274.49
2013-03-28,1277.39
2013-03-29,1277.39
2013-03-30,1277.39
2013-03-31,1277.39
2013-04-01,1264.34
2013-04-02,1257.48
2013-04-03,1237
2013-04-04,1245.2
2013-04-05,1242.27
2013-04-06,1242.27
2013-04-07,1242.27
2013-04-08,1257.59
2013-04-09,1262.3
2013-04-10,1278.82
2013-04-11,1283.11
2013-04-12,1276.71
2013-04-15,1234.48
2013-04-16,1253.13
2013-04-17,1231.59
2013-04-18,1223.6
2013-04-19,1234.57
2013-04-22,1238.17
2013-04-23,1253.82
2013-04-24,1262.51
