Date,S&P 500 Pure Growth (TR)
2012-11-01,5419.76
2012-11-02,5368.27
2012-11-05,5395.17
2012-11-06,5425.12
2012-11-07,5330.28
2012-11-08,5257.29
2012-11-09,5267.22
2012-11-12,5285.86
2012-11-13,5278.15
2012-11-14,5211.28
2012-11-15,5215.72
2012-11-16,5249.97
2012-11-19,5343.1
2012-11-20,5347.17
2012-11-21,5362.24
2012-11-23,5428.43
2012-11-26,5408.45
2012-11-27,5389.33
2012-11-28,5430.87
2012-11-29,5455.29
2012-11-30,5454.41
2012-12-03,5422.65
2012-12-04,5434.92
2012-12-05,5422.22
2012-12-06,5443.57
2012-12-07,5450.52
2012-12-10,5460.91
2012-12-11,5503.71
2012-12-12,5509.39
2012-12-13,5476.37
2012-12-14,5464.49
2012-12-17,5524.09
2012-12-18,5587.94
2012-12-19,5544.56
2012-12-20,5561.48
2012-12-21,5523.09
2012-12-24,5516.98
2012-12-26,5478.32
2012-12-27,5479.55
2012-12-28,5426.91
2012-12-31,5535.51
2013-01-02,5683.63
2013-01-03,5668.34
2013-01-04,5696.89
2013-01-07,5679.12
2013-01-08,5679.01
2013-01-09,5707.61
2013-01-10,5745.39
2013-01-11,5734.76
2013-01-14,5731.94
2013-01-15,5749.54
2013-01-16,5751.22
2013-01-17,5801.69
2013-01-18,5814.47
2013-01-22,5840.76
2013-01-23,5844.42
2013-01-24,5886.72
2013-01-25,5944.57
2013-01-28,5912.25
2013-01-29,5923.87
2013-01-30,5907.87
2013-01-31,5885.32
2013-02-01,5948.88
2013-02-04,5874.32
2013-02-05,5944.68
2013-02-06,5970.32
2013-02-07,5948.3
2013-02-08,5992.58
2013-02-11,5976.57
2013-02-12,5989.43
2013-02-13,6005.75
2013-02-14,6023.05
2013-02-15,6014.44
2013-02-19,6040.04
2013-02-20,5909.14
2013-02-21,5863.54
2013-02-22,5919.32
2013-02-25,5800.32
2013-02-26,5855
2013-02-27,5955.5
2013-02-28,5960.45
2013-03-01,6008.05
2013-03-04,6040.28
2013-03-05,6103.55
2013-03-06,6109.87
2013-03-07,6122.1
2013-03-08,6157.91
2013-03-11,6171.46
2013-03-12,6168.04
2013-03-13,6188.88
2013-03-14,6215.23
2013-03-15,6188.6
2013-03-18,6167.09
2013-03-19,6141.62
2013-03-20,6205.66
2013-03-21,6142.14
2013-03-22,6176.48
2013-03-25,6154.76
2013-03-26,6208.7
2013-03-27,6214.81
2013-03-28,6244.09
2013-04-01,6189.43
2013-04-02,6196.33
2013-04-03,6106.24
2013-04-04,6136.89
2013-04-05,6116.88
2013-04-08,6169.12
2013-04-09,6192.61
2013-04-10,6272.69
2013-04-11,6317.67
2013-04-12,6307.19
2013-04-15,6136.58
2013-04-16,6239.68
2013-04-17,6135.34
2013-04-18,6069.64
2013-04-19,6148.84
2013-04-22,6188.72
2013-04-23,6285.96
2013-04-24,6284.13
2013-04-25,6352.66
2013-04-26,6331.43
2013-04-29,6356.06
2013-04-30,6367.24
2013-05-01,6318.81
2013-05-02,6417.97
2013-05-03,6519.28
2013-05-06,6542.57
2013-05-07,6583.61
2013-05-08,6607.09
2013-05-09,6585.25
2013-05-10,6648.17
2013-05-13,6648.9
2013-05-14,6748.76
2013-05-15,6802.51
2013-05-16,6734.31
2013-05-17,6832.6
2013-05-20,6825.39
2013-05-21,6830.59
2013-05-22,6754.11
2013-05-23,6740.18
2013-05-24,6723.55
2013-05-28,6761.89
2013-05-29,6712.75
2013-05-30,6763.26
2013-05-31,6683.83
2013-06-03,6674.38
2013-06-04,6629.97
2013-06-05,6523.51
2013-06-06,6598.86
2013-06-07,6689.24
2013-06-10,6670.31
2013-06-11,6592.23
2013-06-12,6520.29
2013-06-13,6644.52
2013-06-14,6607.05
2013-06-17,6652.66
2013-06-18,6714.99
2013-06-19,6630.13
2013-06-20,6442.32
2013-06-21,6439.18
2013-06-24,6354.99
2013-06-25,6435.11
2013-06-26,6496.96
2013-06-27,6557.15
2013-06-28,6530.95
2013-07-01,6588.22
2013-07-02,6568.78
2013-07-03,6580.04
2013-07-05,6659.84
2013-07-08,6684.46
2013-07-09,6745.5
2013-07-10,6752.29
2013-07-11,6864.92
2013-07-12,6927.92
2013-07-15,6909.88
2013-07-16,6866.51
2013-07-17,6906.86
2013-07-18,6926.54
2013-07-19,6947.44
2013-07-22,6963.88
2013-07-23,6920.17
2013-07-24,6875.78
2013-07-25,6903.14
2013-07-26,6908.56
2013-07-29,6883.1
2013-07-30,6915.3
2013-07-31,6918.47
2013-08-01,7042.89
2013-08-02,7050.96
2013-08-05,7048.83
2013-08-06,6990.56
2013-08-07,6944.59
2013-08-08,6975.57
2013-08-09,6965.06
2013-08-12,6964.27
2013-08-13,6978.83
2013-08-14,6915.82
2013-08-15,6799.02
2013-08-16,6792.73
2013-08-19,6743
2013-08-20,6811.74
2013-08-21,6783.16
2013-08-22,6860.17
2013-08-23,6874.72
2013-08-26,6863.14
2013-08-27,6718.96
2013-08-28,6750.07
2013-08-29,6789.72
2013-08-30,6758.93
2013-09-03,6819.72
2013-09-04,6894.24
2013-09-05,6904
2013-09-06,6901.68
2013-09-09,6984
2013-09-10,7039.61
2013-09-11,7060.5
2013-09-12,7034.67
2013-09-13,7056.12
2013-09-16,7097.59
2013-09-17,7133.25
2013-09-18,7234.59
2013-09-19,7231.47
2013-09-20,7197.78
2013-09-23,7133.72
2013-09-24,7158.07
2013-09-25,7154.65
2013-09-26,7208.05
2013-09-27,7199.1
2013-09-30,7177
2013-10-01,7252.43
2013-10-02,7256.2
2013-10-03,7181.13
2013-10-04,7258.8
2013-10-07,7157.42
2013-10-08,7005.71
2013-10-09,6981.54
2013-10-10,7162.3
2013-10-11,7206.38
2013-10-14,7259.93
2013-10-15,7206.29
2013-10-16,7327.67
2013-10-17,7407.08
2013-10-18,7454.98
2013-10-21,7456.23
2013-10-22,7473.11
2013-10-23,7429.79
2013-10-24,7481.27
2013-10-25,7509.99
2013-10-28,7497.72
2013-10-29,7547.71
2013-10-30,7498.2
2013-10-31,7477.39
2013-11-01,7492.98
2013-11-04,7527.24
2013-11-05,7509.55
2013-11-06,7488.8
2013-11-07,7354.93
2013-11-08,7484.1
2013-11-11,7486.49
