Date,S&P 500 Low Rate-Sensitivity Index (USD) TR
2012-11-01,5968.6
2012-11-02,5916.47
2012-11-05,5924.49
2012-11-06,5975.88
2012-11-07,5860.88
2012-11-08,5791.73
2012-11-09,5795.04
2012-11-12,5797.88
2012-11-13,5786.63
2012-11-14,5713.6
2012-11-15,5710.98
2012-11-16,5746.26
2012-11-19,5835.74
2012-11-20,5840.58
2012-11-21,5851.46
2012-11-23,5916.65
2012-11-26,5903.06
2012-11-27,5884.79
2012-11-28,5930.97
2012-11-29,5953.02
2012-11-30,5961.07
2012-12-03,5932.13
2012-12-04,5929.22
2012-12-05,5951.18
2012-12-06,5968.01
2012-12-07,5988.82
2012-12-10,5996.65
2012-12-11,6025.2
2012-12-12,6028.24
2012-12-13,5998.2
2012-12-14,5982.77
2012-12-17,6051.37
2012-12-18,6117.87
2012-12-19,6078.65
2012-12-20,6109.16
2012-12-21,6055.08
2012-12-24,6044.4
2012-12-26,6004.38
2012-12-27,6001.06
2012-12-28,5942.68
2012-12-31,6038.64
2013-01-02,6174.97
2013-01-03,6175.23
2013-01-04,6218.46
2013-01-07,6193.31
2013-01-08,6171.08
2013-01-09,6194.2
2013-01-10,6233.37
2013-01-11,6232.82
2013-01-14,6240.1
2013-01-15,6262.3
2013-01-16,6249.19
2013-01-17,6297.57
2013-01-18,6323.65
2013-01-22,6364.69
2013-01-23,6355.79
2013-01-24,6391.12
2013-01-25,6430.84
2013-01-28,6414.55
2013-01-29,6443.89
2013-01-30,6423.52
2013-01-31,6420.56
2013-02-01,6472.82
2013-02-04,6411.53
2013-02-05,6467.63
2013-02-06,6485.52
2013-02-07,6479.17
2013-02-08,6510.36
2013-02-11,6506.54
2013-02-12,6525.73
2013-02-13,6528.65
2013-02-14,6529.68
2013-02-15,6533.03
2013-02-19,6576.86
2013-02-20,6493.24
2013-02-21,6458.32
2013-02-22,6517.07
2013-02-25,6403.11
2013-02-26,6439.78
2013-02-27,6527.62
2013-02-28,6530.76
2013-03-01,6551.72
2013-03-04,6586.26
2013-03-05,6644.93
2013-03-06,6648.89
2013-03-07,6654.52
2013-03-08,6693.45
2013-03-11,6713.9
2013-03-12,6708.71
2013-03-13,6736.87
2013-03-14,6770.94
2013-03-15,6761.1
2013-03-18,6727.99
2013-03-19,6714.03
2013-03-20,6770.58
2013-03-21,6721.25
2013-03-22,6760.41
2013-03-25,6744.24
2013-03-26,6799.58
2013-03-27,6800.37
2013-03-28,6849.5
2013-04-01,6810.57
2013-04-02,6832.68
2013-04-03,6759.23
2013-04-04,6802.92
2013-04-05,6780.5
2013-04-08,6832.93
2013-04-09,6844.4
2013-04-10,6926.15
2013-04-11,6961.99
2013-04-12,6949.61
2013-04-15,6779.59
2013-04-16,6878.03
2013-04-17,6791.62
2013-04-18,6756.55
2013-04-19,6833.03
2013-04-22,6852.6
2013-04-23,6920.76
2013-04-24,6929.34
2013-04-25,6964.43
2013-04-26,6939.77
2013-04-29,6984.27
2013-04-30,7001.81
