Date,S&P 500 High Rate-Sensitivity 100 Index (USD) TR
2012-11-01,4966.22
2012-11-02,4896.76
2012-11-05,4944.54
2012-11-06,5013.31
2012-11-07,4870.36
2012-11-08,4789.91
2012-11-09,4802.81
2012-11-12,4812.78
2012-11-13,4787.35
2012-11-14,4701.44
2012-11-15,4699.8
2012-11-16,4715.47
2012-11-19,4830.58
2012-11-20,4809.26
2012-11-21,4834.49
2012-11-23,4911.98
2012-11-26,4888.57
2012-11-27,4858.93
2012-11-28,4916.07
2012-11-29,4953.65
2012-11-30,4955.07
2012-12-03,4939.8
2012-12-04,4954.51
2012-12-05,4988.27
2012-12-06,5005.29
2012-12-07,5024.05
2012-12-10,5051.97
2012-12-11,5098.1
2012-12-12,5100.11
2012-12-13,5063.54
2012-12-14,5063.55
2012-12-17,5119.53
2012-12-18,5234.24
2012-12-19,5222.58
2012-12-20,5262.11
2012-12-21,5212.57
2012-12-24,5186.62
2012-12-26,5171.85
2012-12-27,5155.42
2012-12-28,5092.67
2012-12-31,5225.75
2013-01-02,5371.51
2013-01-03,5370.32
2013-01-04,5432.58
2013-01-07,5416.45
2013-01-08,5364.58
2013-01-09,5385.19
2013-01-10,5430.27
2013-01-11,5428.47
2013-01-14,5418.59
2013-01-15,5453.82
2013-01-16,5464.6
2013-01-17,5524.13
2013-01-18,5549.72
2013-01-22,5601.67
2013-01-23,5602.06
2013-01-24,5605.57
2013-01-25,5666.13
2013-01-28,5647.43
2013-01-29,5649.84
2013-01-30,5625.01
2013-01-31,5639.88
2013-02-01,5703.08
2013-02-04,5628.29
2013-02-05,5685.22
2013-02-06,5717.59
2013-02-07,5696.69
2013-02-08,5745.1
2013-02-11,5739.39
2013-02-12,5756.49
2013-02-13,5760.21
2013-02-14,5806.56
2013-02-15,5770.53
2013-02-19,5816.96
2013-02-20,5661.96
2013-02-21,5582.98
2013-02-22,5643.61
2013-02-25,5475.77
2013-02-26,5513.29
2013-02-27,5600.47
2013-02-28,5593.38
2013-03-01,5582.65
2013-03-04,5572.14
2013-03-05,5643.62
2013-03-06,5668.8
2013-03-07,5709.76
2013-03-08,5761.79
2013-03-11,5782.75
2013-03-12,5788.54
2013-03-13,5794.42
2013-03-14,5849.09
2013-03-15,5837.85
2013-03-18,5788.69
2013-03-19,5716.1
2013-03-20,5771.64
2013-03-21,5695.77
2013-03-22,5719.08
2013-03-25,5702.05
2013-03-26,5751.18
2013-03-27,5760.58
2013-03-28,5775.24
2013-04-01,5705.13
2013-04-02,5685.38
2013-04-03,5590.73
2013-04-04,5614.6
2013-04-05,5595.27
2013-04-08,5659.87
2013-04-09,5731.41
2013-04-10,5806.71
2013-04-11,5822.55
2013-04-12,5768.24
2013-04-15,5567.37
2013-04-16,5661.62
2013-04-17,5524.48
2013-04-18,5501.38
2013-04-19,5523.15
2013-04-22,5560.1
2013-04-23,5632.17
2013-04-24,5698.82
2013-04-25,5759.64
2013-04-26,5720.58
2013-04-29,5779.27
2013-04-30,5818.63
