date, close
2018-10-25,855.67
2018-10-26,858.33
2018-10-29,857.79
2018-10-30,860.1
2018-10-31,853.86
2018-11-01,862.48
2018-11-02,865.69
2018-11-05,863.96
2018-11-06,863.87
2018-11-07,860.94
2018-11-08,860.79
2018-11-09,856.89
2018-11-12,856.07
2018-11-13,855.22
2018-11-14,854.46
2018-11-15,854.76
2018-11-16,854.02
2018-11-19,852.05
2018-11-20,853.47
2018-11-21,859.54
2018-11-23,863.57
2018-11-26,862.68
2018-11-27,854.72
2018-11-28,853.2
2018-11-29,853.64
2018-11-30,849.63
2018-12-03,850.88
2018-12-04,843.17
2018-12-06,841.54
2018-12-07,843.63
2018-12-10,837.09
2018-12-11,837.1
2018-12-12,840.14
2018-12-13,830.44
2018-12-14,830.06
2018-12-17,827.18
2018-12-18,827.79
2018-12-19,824.37
2018-12-20,824.1
2018-12-21,819.59
2018-12-24,822.9
2018-12-26,825.51
2018-12-27,819.54
2018-12-28,819.47
2018-12-31,820.22
2019-01-02,820.77
2019-01-03,824.7
2019-01-04,826.22
2019-01-07,833.07
2019-01-08,838.67
2019-01-09,842.83
2019-01-10,842.52
2019-01-11,844.13
2019-01-14,843.81
2019-01-15,844.24
2019-01-16,847
2019-01-17,846.23
2019-01-18,846.13
2019-01-22,842.83
2019-01-23,839.9
2019-01-24,843.79
2019-01-25,845.65
2019-01-28,850.07
2019-01-29,847.45
2019-01-30,842.53
2019-01-31,839.85
2019-02-01,841.1
2019-02-04,842.77
2019-02-05,841.83
2019-02-06,842.56
2019-02-07,842.88
2019-02-08,841.85
2019-02-11,847.94
2019-02-12,849.34
2019-02-13,849.29
2019-02-14,852.55
2019-02-15,854.48
2019-02-19,853.6
2019-02-20,854.82
2019-02-21,854.5
2019-02-22,856.3
2019-02-25,855.25
2019-02-26,847.01
2019-02-27,848.67
2019-02-28,850.75
2019-03-01,854.65
2019-03-04,852.74
2019-03-05,849.9
2019-03-06,840.6
2019-03-07,838.42
2019-03-08,837.94
2019-03-11,838.4
2019-03-12,838.03
2019-03-13,835.34
2019-03-14,834.77
2019-03-15,833.04
2019-03-18,835.04
2019-03-19,831
2019-03-20,828.91
2019-03-21,830.78
2019-03-22,820.8
2019-03-25,822.87
2019-03-26,824.91
2019-03-27,826.4
2019-03-28,829.14
2019-03-29,827.15
2019-04-01,827.81
2019-04-02,825.91
2019-04-03,827.28
2019-04-04,831.61
2019-04-05,836.35
2019-04-08,834.62
2019-04-09,830.77
2019-04-10,837.38
2019-04-11,837.08
2019-04-12,836.53
2019-04-15,836.47
2019-04-16,835.82
2019-04-17,831.73
2019-04-18,829.95
2019-04-22,829.42
2019-04-23,833.35
2019-04-24,836.9
2019-04-25,828.97
2019-04-26,832.46
2019-04-29,834.23
2019-04-30,826.86
2019-05-01,827.44
2019-05-02,828.16
2019-05-03,834.92
2019-05-06,838.77
2019-05-07,836.88
2019-05-08,834.67
2019-05-09,830.58
2019-05-10,826.79
2019-05-13,820.28
2019-05-14,821.97
2019-05-15,820.43
2019-05-16,817.73
2019-05-17,812.59
2019-05-20,811.58
2019-05-21,814.06
2019-05-22,810.08
2019-05-23,802.86
2019-05-24,806.22
2019-05-28,806.6
2019-05-29,805.4
2019-05-30,801.25
2019-05-31,799.76
2019-06-03,802.58
2019-06-04,809.17
2019-06-05,802.28
2019-06-06,799.56
2019-06-07,796.41
2019-06-10,797.27
2019-06-11,799.49
2019-06-12,799.41
2019-06-13,802.12
2019-06-14,796.11
2019-06-17,797.88
2019-06-18,799.62
2019-06-19,797.96
2019-06-20,795.08
2019-06-21,791.36
2019-06-24,784.08
2019-06-25,785.66
2019-06-26,786.84
2019-06-27,793.46
2019-06-28,798.19
2019-07-01,793.17
2019-07-02,786.64
2019-07-03,786.78
2019-07-05,791.06
2019-07-08,786.12
2019-07-09,784.81
2019-07-10,784.64
2019-07-11,779.71
2019-07-12,781.7
2019-07-15,776.94
2019-07-16,778.86
2019-07-17,778.81
2019-07-18,778.29
2019-07-19,780.69
2019-07-22,777.32
2019-07-23,779.31
2019-07-24,789.17
2019-07-25,783.67
2019-07-26,786.47
2019-07-29,784.3
2019-07-30,793.55
2019-07-31,791.33
2019-08-01,780.73
2019-08-02,776.85
2019-08-05,777.76
2019-08-06,774.72
2019-08-07,772.28
2019-08-08,772.85
2019-08-09,766.85
2019-08-12,764.95
2019-08-13,761.66
2019-08-14,761.93
2019-08-15,758.22
2019-08-16,762.6
2019-08-19,762.68
2019-08-20,763.02
2019-08-21,760.79
2019-08-22,761.46
2019-08-23,758.25
2019-08-26,757.36
2019-08-27,749.11
2019-08-28,752.85
2019-08-29,755.14
2019-08-30,755.28
2019-09-03,747.78
2019-09-04,746.86
2019-09-05,752.78
2019-09-06,750.11
2019-09-09,763.47
2019-09-10,774.17
2019-09-11,783.76
2019-09-12,778.95
2019-09-13,780.63
2019-09-16,788.06
2019-09-17,776.62
2019-09-18,773.42
2019-09-19,771.53
2019-09-20,772.05
2019-09-23,773.16
2019-09-24,766.87
2019-09-25,773.63
2019-09-26,768.58
2019-09-27,766.26
2019-09-30,766.72
2019-10-01,760.75
2019-10-02,763.22
2019-10-03,762.13
2019-10-04,758.76
2019-10-07,759.36
2019-10-08,755.54
2019-10-09,753.72
2019-10-10,752.38
2019-10-11,760.64
2019-10-14,757.94
2019-10-15,757.77
2019-10-16,760.34
2019-10-17,764.26
2019-10-18,763.97
2019-10-21,767.56
2019-10-22,769.78
2019-10-23,770.95
2019-10-24,765.66
2019-10-25,767.13
2019-10-28,768.97
2019-10-29,770.63
2019-10-30,766.12
2019-10-31,768.24
2019-11-01,775.62
2019-11-04,780.75
2019-11-05,784.42
2019-11-06,777.26
2019-11-07,778.98
2019-11-08,779.01
2019-11-11,778.34
2019-11-12,776.03
2019-11-13,772.97
2019-11-14,772.54
2019-11-15,771.88
2019-11-18,768.2
2019-11-19,769.19
2019-11-20,767.28
2019-11-21,765.64
2019-11-22,767.62
2019-11-25,773.11
2019-11-26,772.43
2019-11-27,774.46
2019-11-29,770.77
2019-12-02,771.1
2019-12-03,771.14
2019-12-04,772.63
2019-12-05,772.13
2019-12-06,774.14
2019-12-09,772.69
2019-12-10,772.23
2019-12-11,771.19
2019-12-12,773.53
2019-12-13,770.04
2019-12-16,770.71
2019-12-17,774.03
2019-12-18,776.48
2019-12-19,777.41
2019-12-20,776.84
2019-12-23,777.02
2019-12-24,777.06
2019-12-26,775.93
2019-12-27,772.93
2019-12-30,774.52
2019-12-31,773.84
2020-01-02,769.27
2020-01-03,769.64
2020-01-06,768.28
2020-01-07,766.66
2020-01-08,764.37
2020-01-09,759.74
2020-01-10,762.02
2020-01-13,763.43
2020-01-14,766.89
2020-01-15,766.79
2020-01-16,769.41
2020-01-17,763.09
2020-01-21,758.6
2020-01-22,758.86
2020-01-23,754.78
2020-01-24,751.86
2020-01-27,752.98
2020-01-28,752.63
2020-01-29,750.18
2020-01-30,745.71
2020-01-31,743.38
2020-02-03,745.43
2020-02-04,744.38
2020-02-05,748.02
2020-02-06,742.93
2020-02-07,738.89
2020-02-10,738.79
2020-02-11,740.57
2020-02-12,741.19
2020-02-13,741.25
2020-02-14,738.3
2020-02-18,737.92
2020-02-19,737.43
2020-02-20,739.45
2020-02-21,737.53
2020-02-24,738.41
2020-02-25,737.2
2020-02-26,728.86
2020-02-27,733.79
2020-02-28,733.88
2020-03-02,723.5
2020-03-03,720.53
2020-03-04,709.89
2020-03-05,707.3
2020-03-06,707.23
2020-03-09,692.31
2020-03-10,684.55
2020-03-11,673.37
2020-03-12,671.7
2020-03-13,664.28
2020-03-16,665.65
2020-03-17,650.41
2020-03-18,632.27
2020-03-19,661.97
2020-03-20,664.62
2020-03-23,670.24
2020-03-24,664.39
2020-03-25,668.18
2020-03-26,659.85
2020-03-27,658.29
2020-03-30,649.1
2020-03-31,657.52
2020-04-01,653.78
2020-04-02,647.82
2020-04-03,642.11
2020-04-06,640.44
2020-04-07,645.06
2020-04-08,646.67
2020-04-09,654.35
2020-04-13,648.15
2020-04-14,641.89
2020-04-15,635.22
2020-04-16,629.68
2020-04-17,634.45
2020-04-20,636.89
2020-04-21,642.68
2020-04-22,634.46
2020-04-23,642.75
2020-04-24,642.96
2020-04-27,653.52
2020-04-28,662.97
2020-04-29,676.11
2020-04-30,670.09
2020-05-01,665.74
2020-05-04,664.29
2020-05-05,659.74
2020-05-06,657.79
2020-05-07,663.09
2020-05-08,674.22
2020-05-11,668.58
2020-05-12,659.94
2020-05-13,649.25
2020-05-14,646.96
2020-05-15,651.01
2020-05-18,665.71
2020-05-19,661.65
2020-05-20,668.27
2020-05-21,672.34
2020-05-22,671.63
2020-05-26,680.18
2020-05-27,687.29
2020-05-28,673.89
2020-05-29,667.47
2020-06-01,675.74
2020-06-02,676.33
2020-06-03,687.32
2020-06-04,693.72
2020-06-05,701.91
2020-06-08,713.66
2020-06-09,702.24
2020-06-10,682.34
2020-06-11,668.59
2020-06-12,677.15
2020-06-15,681.25
2020-06-16,685.45
2020-06-17,674.91
2020-06-18,673.62
2020-06-19,673.09
2020-06-22,673.06
2020-06-23,675.02
2020-06-24,666.48
2020-06-25,667.47
2020-06-26,664.15
2020-06-29,673.12
2020-06-30,669.92
2020-07-01,661.43
2020-07-02,662.25
2020-07-06,661.42
2020-07-07,653.48
2020-07-08,653.84
2020-07-09,645.14
2020-07-10,649.82
2020-07-13,649.9
2020-07-14,647.09
2020-07-15,661.97
2020-07-16,659.18
2020-07-17,655.06
2020-07-20,647.79
2020-07-21,656.47
2020-07-22,654.88
2020-07-23,663.23
2020-07-24,658.26
2020-07-27,657.18
2020-07-28,654.43
2020-07-29,660.31
2020-07-30,658.56
2020-07-31,653.44
2020-08-03,658.16
2020-08-04,657.04
2020-08-05,660.14
2020-08-06,658.23
2020-08-07,665.21
2020-08-10,671.1
2020-08-11,676.58
2020-08-12,671.01
2020-08-13,667.92
2020-08-14,667.92
2020-08-17,662.86
2020-08-18,654.02
2020-08-19,655.61
2020-08-20,651.81
2020-08-21,646.26
2020-08-24,652.43
2020-08-25,650.52
2020-08-26,642.93
2020-08-27,647.93
2020-08-28,648.9
2020-08-31,641.48
2020-09-01,642.5
2020-09-02,638.68
2020-09-03,641.69
2020-09-04,644.84
2020-09-08,644.06
2020-09-09,638.76
2020-09-10,639.75
2020-09-11,635.77
2020-09-14,639.38
2020-09-15,635.51
2020-09-16,639.19
2020-09-17,640.71
2020-09-18,637.34
2020-09-21,628.25
2020-09-22,628.23
2020-09-23,625.69
2020-09-24,623.89
2020-09-25,623.14
2020-09-28,626.73
2020-09-29,623.6
2020-09-30,621.98
2020-10-01,625.7
2020-10-02,633.58
2020-10-05,638.33
2020-10-06,641.47
2020-10-07,644.17
2020-10-08,647.19
2020-10-09,644.06
2020-10-12,643.73
2020-10-13,639.87
2020-10-14,640.18
2020-10-15,645.97
2020-10-16,643.02
2020-10-19,645.43
2020-10-20,647.21
2020-10-21,648.22
2020-10-22,658.21
2020-10-23,661.11
2020-10-26,657.71
2020-10-27,654.65
2020-10-28,652.69
2020-10-29,657.01
2020-10-30,657.97
2020-11-02,659.18
2020-11-03,664.42
2020-11-04,651.11
2020-11-05,656.18
2020-11-06,649.44
2020-11-09,678.87
2020-11-10,683.13
2020-11-11,675.1
2020-11-12,670.75
2020-11-13,679.23
2020-11-16,690.5
2020-11-17,694.95
2020-11-18,692.2
2020-11-19,693.7
2020-11-20,695.56
2020-11-23,705.85
2020-11-24,713.1
2020-11-25,707.59
2020-11-27,706.4
2020-11-30,693.93
2020-12-01,697.67
2020-12-02,699.36
2020-12-03,703.56
2020-12-04,710.46
2020-12-07,708.29
2020-12-08,711.64
2020-12-09,713.34
2020-12-10,720.28
2020-12-11,718.21
2020-12-14,719.31
2020-12-15,725.19
2020-12-16,722.28
2020-12-17,723.92
2020-12-18,724.67
2020-12-21,727.22
2020-12-22,732.51
2020-12-23,740.37
2020-12-24,737.95
2020-12-28,736.31
2020-12-29,729.36
2020-12-30,732.3
2020-12-31,727.3
2021-01-04,727.21
2021-01-05,734.17
2021-01-06,747.54
2021-01-07,747.59
2021-01-08,742.76
2021-01-11,745.96
2021-01-12,753.49
2021-01-13,746.91
2021-01-14,758.14
2021-01-15,756.99
2021-01-19,756.01
2021-01-20,754.78
2021-01-21,751.98
2021-01-22,758.2
2021-01-25,757.31
2021-01-26,756.11
2021-01-27,761.71
2021-01-28,752.38
2021-01-29,750.47
2021-02-01,757.36
2021-02-02,755.01
2021-02-03,758.49
2021-02-04,761.96
2021-02-05,764.1
2021-02-08,770.98
2021-02-09,772.8
2021-02-10,774.41
2021-02-11,776.19
2021-02-12,776.06
2021-02-16,772.86
2021-02-17,768.96
2021-02-18,763.36
2021-02-19,773.35
2021-02-22,776.32
2021-02-23,776.16
2021-02-24,779.55
2021-02-25,772.75
2021-02-26,776
2021-03-01,778.59
2021-03-02,772.38
2021-03-03,778.27
2021-03-04,775.64
2021-03-05,778.73
2021-03-08,785.13
2021-03-09,776.68
2021-03-10,781.28
2021-03-11,786.17
2021-03-12,789.36
2021-03-15,791.35
2021-03-16,785.13
2021-03-17,786.79
2021-03-18,779.39
2021-03-19,783.93
2021-03-22,776.55
2021-03-23,762.7
2021-03-24,757.34
2021-03-25,766.75
2021-03-26,765.46
2021-03-29,754.59
2021-03-30,762.82
2021-03-31,763.07
2021-04-01,765.25
2021-04-05,761.43
2021-04-06,761.99
2021-04-07,757.78
2021-04-08,758.4
2021-04-09,755.2
2021-04-12,756.53
2021-04-13,751.59
2021-04-14,758.65
2021-04-15,755.85
2021-04-16,757.31
2021-04-19,757.59
2021-04-20,752.23
2021-04-21,754.67
2021-04-22,756.86
2021-04-23,760.62
2021-04-26,765.82
2021-04-27,765.71
2021-04-28,767.31
2021-04-29,763.42
2021-04-30,759.19
2021-05-03,759.64
2021-05-04,759.13
2021-05-05,757.35
2021-05-06,755.38
2021-05-07,758.46
2021-05-10,754.77
2021-05-11,756.56
2021-05-12,750.83
2021-05-13,753.9
2021-05-14,756.84
2021-05-17,759.1
2021-05-18,758.61
2021-05-19,755.48
2021-05-20,750.9
2021-05-21,751.3
2021-05-24,748.5
2021-05-25,743.8
2021-05-26,751.7
2021-05-27,754.46
2021-05-28,752.6
2021-06-01,757.26
2021-06-02,754.27
2021-06-03,751.16
2021-06-04,749.33
2021-06-07,753.77
2021-06-08,763.46
2021-06-09,760.64
2021-06-10,759.06
2021-06-11,762.48
2021-06-14,758.64
2021-06-15,757.68
2021-06-16,760.31
2021-06-17,753.91
2021-06-18,751.98
2021-06-21,754.49
2021-06-22,751.2
2021-06-23,752.24
2021-06-24,754.22
2021-06-25,756.79
2021-06-28,749.91
2021-06-29,746.46
2021-06-30,745.93
2021-07-01,746.29
2021-07-02,740.81
2021-07-06,735.81
2021-07-07,732.23
2021-07-08,731.98
2021-07-09,736.39
2021-07-12,733.38
2021-07-13,726.24
2021-07-14,721.22
2021-07-15,719.29
2021-07-16,715.49
2021-07-19,717.05
2021-07-20,722.95
2021-07-21,723.9
2021-07-22,716.02
2021-07-23,715.56
2021-07-26,715.74
2021-07-27,712.5
2021-07-28,719.98
2021-07-29,718.83
2021-07-30,719.46
2021-08-02,718.5
2021-08-03,714.27
2021-08-04,710.47
2021-08-05,712.57
2021-08-06,713.59
2021-08-09,711.38
2021-08-10,711.88
2021-08-11,713.9
2021-08-12,713.64
2021-08-13,710.11
2021-08-16,704.4
2021-08-17,704.33
2021-08-18,706.78
2021-08-19,700.04
2021-08-20,704.64
2021-08-23,705.75
2021-08-24,711.3
2021-08-25,713.16
2021-08-26,712.08
2021-08-27,719.33
2021-08-30,717.03
2021-08-31,718.9
2021-09-01,721.78
2021-09-02,723.45
2021-09-03,721.68
2021-09-07,720.32
2021-09-08,719.06
2021-09-09,719.96
2021-09-10,717.44
2021-09-13,720.22
2021-09-14,718.36
2021-09-15,717.75
2021-09-16,718.01
2021-09-17,720.96
2021-09-20,720.98
2021-09-21,721.59
2021-09-22,721.98
2021-09-23,723.85
2021-09-24,723.91
2021-09-27,731.19
2021-09-28,731.73
2021-09-29,730.66
2021-09-30,731.65
2021-10-01,735.43
2021-10-04,736.22
2021-10-05,732.56
2021-10-06,729.23
2021-10-07,731.76
2021-10-08,729.71
2021-10-11,729.21
2021-10-12,732.48
2021-10-13,732.53
2021-10-14,731.77
2021-10-15,725.68
2021-10-18,723.74
2021-10-19,721.53
2021-10-20,721.05
2021-10-21,720.1
2021-10-22,718.33
2021-10-25,717.26
2021-10-26,711.81
2021-10-27,708.36
2021-10-28,710.57
2021-10-29,710.4
2021-11-01,723.22
2021-11-02,719.63
2021-11-03,726.27
2021-11-04,720.32
2021-11-05,724.64
2021-11-08,721.27
2021-11-09,720.89
2021-11-10,721.53
2021-11-11,723.23
2021-11-12,719.91
2021-11-15,720.06
2021-11-16,718.18
2021-11-17,714.36
2021-11-18,709.75
2021-11-19,708.3
2021-11-22,708.5
2021-11-23,705.41
2021-11-24,704.83
