Date,NLSN,IT,TER,NUE,PEP,CB,CPRT,TMUS,EXPE,XYL,BDX,AZO,CMCSA,MS,OKE,CPB,RSG,EXPD,CTAS,EBAY,ECL,F,D,PGR,PHM,EFX,FLT,LNT,MCK,MRO,AMP,PCAR,CI,VLO,CCI,VTRS,PBCT,T,TWTR,TROW,FFIV,CMI,BXP,LDOS,DAL
2014-12-03,43.7599983215332,84.80000305175781,20.209999084472656,54.970001220703125,98.31999969482422,115.68000030517578,18.225000381469727,28.299999237060547,88.58999633789062,38.88999938964844,140.3699951171875,590.5499877929688,28.56999969482422,36.52000045776367,53.220001220703125,43.790000915527344,39.209999084472656,45.720001220703125,73.12999725341797,23.06818199157715,109.25,16.010000228881836,72.58000183105469,27.209999084472656,21.469999313354492,81.38999938964844,149.27000427246094,31.985000610351562,211.5,30.530000686645508,133.44000244140625,70.76000213623047,104.02999877929688,51.720001220703125,79.9000015258789,58.22999954223633,14.770000457763672,34.0,39.060001373291016,83.73999786376953,130.9499969482422,150.60000610351562,131.0800018310547,42.83000183105469,44.75
2014-12-04,42.810001373291016,84.13999938964844,20.0,55.130001068115234,97.75,116.12999725341797,18.600000381469727,28.440000534057617,89.55000305175781,38.56999969482422,140.67999267578125,588.0700073242188,28.190000534057617,36.790000915527344,53.09000015258789,43.650001525878906,39.25,45.5099983215332,72.81999969482422,23.009258270263672,109.52999877929688,15.8100004196167,72.73999786376953,27.219999313354492,21.719999313354492,80.91000366210938,149.67999267578125,32.1150016784668,211.82000732421875,29.84000015258789,133.60000610351562,70.2300033569336,103.19000244140625,51.59000015258789,79.94999694824219,58.22999954223633,14.720000267028809,33.90999984741211,38.790000915527344,83.6500015258789,132.30999755859375,149.9600067138672,131.52000427246094,43.08000183105469,46.41999816894531
2014-12-05,43.529998779296875,84.80000305175781,20.18000030517578,54.45000076293945,97.76000213623047,116.06999969482422,18.8799991607666,28.190000534057617,91.3499984741211,38.59000015258789,139.14999389648438,587.9500122070312,28.170000076293945,37.2400016784668,52.5,43.650001525878906,39.63999938964844,45.560001373291016,73.05000305175781,23.06818199157715,109.04000091552734,15.699999809265137,72.1500015258789,27.260000228881836,21.540000915527344,80.94000244140625,152.7100067138672,31.875,212.6300048828125,29.229999542236328,135.14999389648438,70.25,104.70999908447266,49.779998779296875,79.2699966430664,58.40999984741211,14.920000076293945,33.939998626708984,38.4900016784668,84.48999786376953,133.25999450683594,150.86000061035156,131.38999938964844,43.470001220703125,47.279998779296875
2014-12-08,43.7400016784668,83.3499984741211,19.770000457763672,54.02000045776367,97.77999877929688,117.58000183105469,18.799999237060547,28.200000762939453,90.30999755859375,37.81999969482422,139.77999877929688,581.0499877929688,28.18000030517578,38.0,48.34000015258789,44.150001525878906,39.34000015258789,45.25,73.0,23.211278915405273,103.8499984741211,15.430000305175781,72.3499984741211,27.280000686645508,21.260000228881836,80.98999786376953,148.11000061035156,32.2400016784668,212.77999877929688,27.25,135.8699951171875,69.61000061035156,104.87999725341797,48.11000061035156,79.1500015258789,57.22999954223633,14.890000343322754,33.880001068115234,36.290000915527344,84.80000305175781,131.2899932861328,147.6199951171875,131.82000732421875,43.54999923706055,47.34000015258789
2014-12-09,45.16999816894531,83.87000274658203,20.030000686645508,54.619998931884766,97.12999725341797,116.05999755859375,18.815000534057617,25.850000381469727,90.69999694824219,38.119998931884766,139.4499969482422,605.8099975585938,28.094999313354492,38.099998474121094,48.41999816894531,44.2400016784668,39.349998474121094,44.66999816894531,73.41000366210938,23.316497802734375,105.44999694824219,15.430000305175781,72.51000213623047,26.829999923706055,21.219999313354492,81.33000183105469,148.6999969482422,32.314998626708984,210.2899932861328,27.780000686645508,135.4600067138672,70.5199966430664,104.38999938964844,48.59000015258789,78.97000122070312,56.59000015258789,14.890000343322754,32.88999938964844,37.04999923706055,84.7300033569336,132.2100067138672,149.22000122070312,133.16000366210938,43.38999938964844,46.33000183105469
2014-12-10,43.77000045776367,83.87999725341797,19.510000228881836,53.2599983215332,96.18000030517578,114.87000274658203,18.485000610351562,25.34000015258789,87.77999877929688,36.84000015258789,136.64999389648438,598.3699951171875,27.78499984741211,37.38999938964844,44.650001525878906,44.06999969482422,39.11000061035156,44.16999816894531,71.87000274658203,23.26178550720215,104.20999908447266,15.15999984741211,71.87999725341797,26.760000228881836,20.469999313354492,80.61000061035156,143.89999389648438,31.8799991607666,208.1199951171875,26.43000030517578,133.6300048828125,68.30999755859375,102.4000015258789,46.650001525878906,77.45999908447266,54.9900016784668,14.579999923706055,32.4900016784668,36.349998474121094,83.94999694824219,130.7100067138672,143.97000122070312,132.99000549316406,42.720001220703125,46.220001220703125
2014-12-11,43.060001373291016,84.5,19.559999465942383,52.970001220703125,96.29000091552734,115.08999633789062,18.3799991607666,25.639999389648438,87.31999969482422,36.97999954223633,138.02000427246094,602.3900146484375,27.950000762939453,37.400001525878906,45.66999816894531,44.41999816894531,39.31999969482422,44.650001525878906,72.80000305175781,23.901514053344727,104.63999938964844,15.279999732971191,73.37000274658203,26.850000381469727,20.510000228881836,81.05000305175781,142.97999572753906,32.154998779296875,209.58999633789062,26.25,133.88999938964844,69.44999694824219,102.43000030517578,46.810001373291016,76.81999969482422,54.709999084472656,14.699999809265137,32.709999084472656,36.70000076293945,84.20999908447266,132.3800048828125,144.1999969482422,131.77000427246094,42.97999954223633,48.33000183105469
2014-12-12,43.349998474121094,82.72000122070312,19.309999465942383,51.880001068115234,94.73999786376953,113.31999969482422,18.229999542236328,25.309999465942383,87.52999877929688,36.20000076293945,136.99000549316406,604.72998046875,27.674999237060547,36.25,44.86000061035156,43.75,38.720001220703125,44.66999816894531,71.02999877929688,23.47222137451172,102.33000183105469,14.989999771118164,72.72000122070312,26.389999389648438,20.190000534057617,79.62999725341797,138.3300018310547,31.700000762939453,205.3300018310547,25.450000762939453,127.72000122070312,67.69999694824219,101.7300033569336,46.27000045776367,75.8499984741211,53.31999969482422,14.569999694824219,32.15999984741211,37.099998474121094,82.0,130.5399932861328,140.89999389648438,130.64999389648438,42.619998931884766,47.68000030517578
2014-12-15,43.40999984741211,84.27999877929688,19.09000015258789,51.150001525878906,94.13999938964844,111.5999984741211,18.045000076293945,25.25,87.33000183105469,36.2400016784668,135.75,605.8400268554688,27.469999313354492,35.93000030517578,44.31999969482422,43.08000183105469,38.95000076293945,45.47999954223633,71.52999877929688,23.333332061767578,102.02999877929688,14.279999732971191,71.9800033569336,26.239999771118164,19.950000762939453,79.86000061035156,138.47999572753906,31.329999923706055,206.39999389648438,24.799999237060547,126.44999694824219,67.51000213623047,101.3499984741211,46.11000061035156,75.72000122070312,54.52000045776367,14.489999771118164,32.25,36.849998474121094,82.41999816894531,130.25999450683594,140.3000030517578,128.92999267578125,42.7400016784668,47.79999923706055
2014-12-16,43.4900016784668,82.97000122070312,18.959999084472656,48.790000915527344,92.58999633789062,110.73999786376953,17.959999084472656,24.56999969482422,86.04000091552734,36.27000045776367,134.0399932861328,597.9299926757812,27.405000686645508,35.52000045776367,44.29999923706055,42.720001220703125,39.189998626708984,44.2599983215332,71.52999877929688,23.543771743774414,101.55000305175781,14.09000015258789,71.79000091552734,25.75,19.790000915527344,79.5999984741211,138.66000366210938,31.3799991607666,201.4199981689453,25.309999465942383,124.83999633789062,67.72000122070312,99.97000122070312,47.029998779296875,75.47000122070312,53.560001373291016,14.510000228881836,32.13999938964844,35.130001068115234,81.5999984741211,128.27000427246094,138.47000122070312,128.82000732421875,42.540000915527344,45.380001068115234
